audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
6.8,Comedy,30,120,33.77,OÃ¹ le coeur nous mÃ¨ne,28730,2000
6.7,Action,49,119,6.06,Way of the Gun,28632,2000
5.6,Action,24,106,35.01,The skulls: sociÃ©tÃ© secrÃ¨te,28323,2000
5.7,Action,30,117,30.21,L'art de la guerre,26355,2000
7.7,Animation,62,103,0.03,Vampire Hunter D: Bloodlust,24827,2000
7.7,Drama,85,111,9.18,Tu peux compter sur moi,24617,2000
7.0,Biography,77,122,8.6,Pollock,24394,2000
5.3,Comedy,35,98,15.62,Loser,24136,2000
5.3,Crime,22,97,28.93,The Watcher,23280,2000
7.3,Biography,85,133,4.22,Avant la nuit,21905,2000
5.5,Drama,24,103,37.75,Un automne Ã  New York,21761,2000
7.0,Drama,59,126,17.87,Manipulations,21293,2000
7.9,Action,58,110,0.0,JSA - Joint Security Area,21140,2000
"7.2,Crime,47,114,0.45,""Aniki, mon frÃ¨re"",19737,2000"
6.5,Crime,43,110,0.26,Suspicion,19460,2000
5.9,Drama,25,122,0.05,The Million Dollar Hotel,19244,2000
6.8,Comedy,75,105,6.92,SÃ©quences et consÃ©quences,18958,2000
7.5,Comedy,84,106,1.07,Together,18594,2000
5.7,Drama,52,106,36.78,Un amour infini,18451,2000
7.8,Adventure,71,99,0.0,Julie en juillet,18062,2000
7.0,Comedy,61,95,34.1,Mon chien Skip,17544,2000
4.2,Animation,36,92,26.0,Les aventures de Rocky & Bullwinkle,17535,2000
4.6,Action,21,87,12.8,Highlander: Endgame,17367,2000
6.4,Crime,58,115,0.88,The Yards,17335,2000
6.9,Comedy,54,115,32.66,Droit au coeur,17319,2000
3.6,Comedy,27,90,35.27,Les Pierrafeu Ã  Rock Vegas,17068,2000
6.7,Drama,52,115,17.17,Danse ta vie,16685,2000
4.6,Comedy,64,122,13.11,Docteur T & les femmes,16260,2000
7.7,Action,47,109,0.0,Blinkende lygter,16237,2000
6.9,Comedy,62,93,12.12,Saving Grace,16111,2000
7.2,Drama,70,124,27.44,Love & Basketball,15604,2000
4.8,Horror,19,90,14.22,Supernova,15461,2000
4.5,Crime,35,77,0.01,Baise-moi,15343,2000
8.1,Drama,93,173,1.14,Yi yi,14917,2000
5.4,Comedy,29,94,20.63,Boys and Girls,14503,2000
6.3,Animation,53,77,45.55,Les aventures de Tigrou et de Winnie l'ourson,14402,2000
7.7,Comedy,76,98,0.0,Chansons du deuxiÃ¨me Ã©tage,14249,2000
4.2,Horror,16,97,21.47,Urban Legend 2: Coup de grÃ¢ce,13926,2000
7.2,Comedy,74,101,2.25,The Dish,13539,2000
7.6,Drama,64,135,0.87,La princesse et le guerrier,13412,2000
6.2,Drama,40,100,0.74,The man who cried - Les larmes d'un homme,13147,2000
5.9,Drama,31,90,5.11,Fausses rumeurs,13109,2000
4.9,Comedy,13,91,20.04,In Love,12955,2000
5.1,Crime,17,107,29.37,L'Ã©lue,12758,2000
5.3,Comedy,23,107,12.37,Ready to Rumble,12344,2000
5.6,Crime,25,96,15.43,Mais qui a tuÃ© Mona?,12220,2000
6.2,Comedy,57,87,1.28,Cecil B. Demented,12007,2000
5.8,Drama,55,116,15.53,De si jolis chevaux,11948,2000
7.1,Comedy,77,112,4.45,Italian for Beginners,11856,2000
6.8,Crime,60,103,0.03,Gangster Number One,11598,2000
5.1,Comedy,22,84,13.59,Ladies Man,11286,2000
6.6,Crime,65,94,0.04,Animal Factory,11282,2000
7.1,Drama,61,90,0.02,L'Ã®le,10971,2000
6.7,Animation,44,48,0.0,Blood: The Last Vampire,10765,2000
4.8,Comedy,33,94,36.05,Raccroche!,10701,2000
6.1,Horror,33,96,0.01,Anatomie,10640,2000
5.0,Adventure,34,89,60.02,Jour blanc,10071,2000
8.3,Drama,92,145,0.03,Les Harmonies Werckmeister,9987,2000
4.8,Drama,16,97,16.78,Les Ã¢mes perdues,9774,2000
4.7,Comedy,25,108,14.99,Un couple presque parfait,9769,2000
5.8,Action,39,119,15.33,PiÃ©gÃ©,9572,2000
7.2,Drama,74,118,0.1,Code inconnu: RÃ©cit incomplet de divers voyages,9490,2000
6.5,Comedy,50,135,2.19,The Very Black Show,9099,2000
"6.1,Animation,62,78,76.51,""Les Razmoket Ã  Paris, le film"",9097,2000"
"5.3,Comedy,41,92,5.02,""Woman on top - Amour, piments et bossa nova"",9097,2000"
5.0,Comedy,31,105,10.01,Le bon numÃ©ro,9004,2000
"7.2,Comedy,75,117,3.82,""Harry, un ami qui vous veut du bien"",8846,2000"
7.3,Comedy,60,110,0.69,Happy Accidents,8754,2000
6.9,Comedy,68,88,0.01,101 Reykjavik,8660,2000
6.8,Drama,70,110,1.52,Girlfight,8569,2000
6.0,Comedy,40,112,4.73,Duos d'un jour,8543,2000
5.5,Comedy,20,94,8.74,Dangereuse sÃ©duction,8490,2000
6.0,Drama,70,112,1.57,Hamlet,8393,2000
5.6,Comedy,41,105,6.29,De quelle planÃ¨te viens-tu?,8376,2000
"7.4,Comedy,68,114,5.31,""Pain, tulipes et comÃ©die"",8259,2000"
4.6,Action,22,96,4.22,Left Behind,8157,2000
7.3,Comedy,78,112,0.64,Le goÃ»t des autres,8144,2000
5.9,Crime,45,113,0.1,Le poids de l'eau,8060,2000
5.8,Adventure,45,95,13.56,Le petit vampire,8009,2000
5.1,Drama,25,96,10.49,Un Ã©tÃ© sur terre,7693,2000
6.8,Comedy,77,88,0.78,Panic,7456,2000
5.7,Comedy,7,81,7.03,Screwed,7342,2000
7.2,Drama,86,92,1.45,Sous le sable,7179,2000
6.7,Comedy,70,87,4.34,Le tao de Steve,6971,2000
7.4,Drama,82,89,0.24,George Washington,6766,2000
6.6,Biography,44,103,0.05,Vatel,6665,2000
7.1,Romance,78,135,3.04,Chez les heureux du monde,6641,2000
7.0,Comedy,51,94,1.74,Le club des coeurs brisÃ©s,6380,2000
6.2,Drama,62,90,0.0,Uzumaki,6249,2000
5.7,Comedy,42,101,1.63,Mafia parano,6238,2000
6.7,Drama,59,105,0.33,Le fantÃ´me de Sarah Williams,6208,2000
6.2,Drama,65,97,0.95,Time Code,6077,2000
5.9,Comedy,64,97,0.15,About Adam,5956,2000
