audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
6.0,Action,40,94,34.24,TraquÃ©,38200,2003
6.8,Crime,70,102,10.11,Swimming Pool,37317,2003
5.8,Action,36,101,34.6,En sursis,37181,2003
6.3,Comedy,52,101,20.3,Bye Bye Love,35399,2003
4.9,Comedy,34,88,75.85,Le manoir hantÃ© et les 999 fantÃ´mes,35183,2003
8.0,Drama,82,105,0.5,Le retour,34657,2003
6.9,Biography,38,109,52.28,Radio,34128,2003
2.0,Action,15,90,10.25,House of the Dead,33471,2003
5.2,Action,38,88,22.11,Le mÃ©daillon,33198,2003
5.3,Action,47,116,30.01,Hollywood Homicide,32763,2003
3.4,Comedy,19,85,26.28,Dumb & dumberer - quand Harry rencontra Lloyd,32287,2003
7.8,Drama,61,113,0.02,Ondskan,32091,2003
5.6,Comedy,39,105,132.72,Bronx Ã  Bel Air,31593,2003
6.7,Crime,59,97,12.21,Confidence,31441,2003
6.1,Comedy,33,92,36.92,Filles de bonne famille,31116,2003
"5.4,Adventure,56,94,42.67,""Lizzie McGuire, le film"",30501,2003"
7.2,Drama,73,94,2.22,Le mystificateur,30345,2003
7.0,Crime,69,101,8.24,Lady Chance,29689,2003
6.5,Adventure,55,137,26.9,Les disparues,29334,2003
8.1,Documentary,82,106,4.58,La mort suspendue,29285,2003
5.1,Action,41,102,47.81,Cody Banks: agent secret,28963,2003
5.0,Horror,23,86,32.55,Nuits de terreur,27459,2003
5.7,Animation,64,91,20.99,Les Looney Tunes passent Ã  l'action,27214,2003
"6.4,Comedy,43,108,3.2,""Anything else, la vie et tout le reste"",26851,2003"
6.3,Drama,57,106,5.38,La couleur du mensonge,26769,2003
7.7,Comedy,70,99,3.43,Les invasions barbares,25973,2003
4.4,Action,16,89,66.93,Kangourou Jack,25301,2003
2.1,Comedy,14,81,4.92,From Justin to Kelly,24028,2003
6.5,Adventure,32,127,4.43,Sans frontiÃ¨re,23983,2003
7.3,Comedy,81,91,17.51,A Mighty Wind,23388,2003
6.5,Action,56,110,0.07,Ned Kelly,23010,2003
7.9,Animation,73,93,0.13,Tokyo Goddofazazu,22807,2003
5.2,Comedy,27,87,15.59,HÃ´tesse Ã  tout prix,22575,2003
7.6,Drama,57,106,0.4,Ma vie sans moi,22183,2003
7.7,Comedy,72,105,0.24,Kontroll,21390,2003
7.1,Drama,37,108,0.34,The United States of Leland,21037,2003
7.8,Documentary,90,107,3.12,Capturing the Friedmans,20895,2003
6.9,Comedy,60,108,31.04,Calendar Girls,20687,2003
8.2,Documentary,87,107,4.19,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,20494,2003
5.3,Mystery,46,119,4.75,In the Cut,19564,2003
6.6,Crime,43,104,1.06,Wonderland,19526,2003
4.9,Mystery,37,118,21.38,La gorge du diable,19230,2003
8.1,Documentary,73,145,1.88,The Corporation,18990,2003
6.2,Drama,57,93,0.2,Code 46,18827,2003
7.1,Comedy,70,80,2.53,Pieces of April,18672,2003
6.8,Action,56,90,1.31,Saints and Soldiers,18636,2003
8.5,Drama,89,366,0.25,Nos meilleures annÃ©es,17807,2003
6.9,Biography,55,98,1.57,Veronica Guerin,17204,2003
5.1,Comedy,43,86,34.31,Le rappeur de Malibu,16875,2003
7.3,Comedy,54,100,0.0,Les bouchers verts,16306,2003
6.2,Drama,61,100,6.89,Willard,15944,2003
5.4,Comedy,44,95,37.79,PrÃ©sident par accident,15823,2003
5.2,Horror,21,102,7.66,Le purificateur,15693,2003
7.1,Comedy,45,107,0.82,La tentation d'Aaron,15363,2003
7.6,Drama,71,145,0.21,Carandiru,15274,2003
6.2,Horror,54,112,0.0,La mort en ligne,15097,2003
5.6,Comedy,27,101,15.41,Ivresse et consÃ©quences,15055,2003
5.7,Action,46,98,20.44,Espion mais pas trop!,14700,2003
6.9,Comedy,64,105,0.9,Intermission,14153,2003
6.3,Biography,30,219,12.87,Gods and Generals,13905,2003
6.6,Biography,47,123,5.79,Luther,13547,2003
6.3,Biography,36,98,0.73,Party Monster,13416,2003
6.9,Action,49,128,0.0,Azumi,13334,2003
7.5,Crime,73,108,1.62,L'Ã©tÃ© oÃ¹ j'ai grandi,12922,2003
5.4,Animation,38,72,47.89,Le livre de la jungle 2,12662,2003
5.6,Comedy,36,98,22.73,Dickie Roberts: Ex-enfant star,12352,2003
5.0,Drama,51,93,0.37,The Brown Bunny,12250,2003
6.5,Crime,67,98,0.77,Young Adam,12135,2003
5.6,Comedy,32,96,14.21,Alex & Emma,12058,2003
5.5,Action,34,104,0.04,Undead,11861,2003
4.6,Action,36,110,21.7,Biker Boyz,11608,2003
7.1,Crime,70,104,1.01,Mister Cash,11202,2003
6.4,Crime,40,101,0.03,Les maÃ®tres du jeu,11195,2003
7.6,Comedy,48,108,0.0,Un ciel Ã©picÃ©,11061,2003
6.0,Adventure,30,105,5.11,Grind,10804,2003
4.9,Drama,51,117,9.07,Le divorce,10179,2003
7.6,Comedy,73,112,0.03,Ruang rak noi nid mahasan,10120,2003
6.7,Comedy,59,96,0.73,Fausses apparences,10100,2003
7.5,Comedy,69,96,2.82,Monsieur Ibrahim et les fleurs du Coran,9950,2003
7.4,Drama,55,106,0.54,La fenÃªtre d'en face,9606,2003
7.1,Crime,58,129,0.05,Gozu,9560,2003
6.9,Drama,71,108,0.55,All the Real Girls,9534,2003
6.3,Biography,56,110,1.3,Sylvia,9385,2003
7.4,Action,73,123,0.33,La mÃ©moire du tueur,8661,2003
5.7,Comedy,45,101,14.11,How to Deal,8533,2003
6.8,Action,53,86,0.03,Wonderful Days,8474,2003
7.4,Drama,68,82,0.06,Noi l'albinos,8304,2003
8.0,Documentary,66,112,7.71,Tupac: Resurrection,8226,2003
6.6,Drama,71,114,0.06,Le temps du loup,8160,2003
7.4,Drama,83,83,1.13,Osama,7930,2003
7.7,Comedy,49,123,0.02,L'homme qui photocopiait,7859,2003
5.9,Crime,56,103,0.36,Seule la mort peut m'arrÃªter,7805,2003
6.8,Drama,39,92,0.31,Attraction fatale,7739,2003
7.2,Action,62,111,0.02,Stander,7506,2003
5.6,Comedy,45,109,0.34,The Singing Detective,7464,2003
7.3,Comedy,75,95,0.35,Kitchen stories - chroniques de cuisine,7399,2003
5.5,Drama,32,104,0.01,It's all about love,7398,2003
7.5,Documentary,79,90,0.09,Five Obstructions,7000,2003
7.4,Comedy,70,118,0.01,Save the Green Planet!,6793,2003
7.3,Drama,47,90,0.28,I Am David,6551,2003
7.4,Drama,60,92,0.07,Reconstruction,6528,2003
5.6,Animation,38,80,39.4,Les razmoket rencontrent les Delajungle,6306,2003
5.1,Comedy,37,100,21.9,Love Don't Cost a Thing,6150,2003
7.1,Drama,63,113,1.17,Rose & Cassandra,6107,2003
5.5,Comedy,53,123,30.24,The Fighting Temptations,6087,2003
6.5,Crime,45,100,0.21,Levity,5920,2003
7.2,Documentary,87,88,0.59,Tarnation,5917,2003
7.8,Drama,80,107,0.65,Saraband,5856,2003
6.7,Comedy,41,88,6.24,Mambo Italiano,5847,2003
6.0,Thriller,61,91,0.0,Inside Job,5842,2003
6.7,Drama,73,110,0.65,Japanese Story,5837,2003
6.4,Drama,73,112,2.28,Company,5794,2003
7.5,Documentary,81,93,1.74,L'histoire du chameau qui pleure,5592,2003
6.0,Animation,62,75,23.1,Les Aventures de Porcinet,5332,2003
7.5,Drama,74,109,0.03,Ne dis rien,5320,2003
7.2,Comedy,78,100,0.67,The Saddest Music in the World,5315,2003
6.3,Comedy,55,114,1.63,Camp,5255,2003
6.9,Documentary,68,83,0.2,The Yes Men,5249,2003
7.2,Documentary,71,93,0.1,Aileen: Life and Death of a Serial Killer,5240,2003
6.4,Drama,64,103,1.42,Northfork,5012,2003
6.1,Comedy,46,105,17.33,Deliver Us from Eva,4958,2003
2.8,Comedy,20,84,1.65,Marci X,4663,2003
7.5,Comedy,59,108,0.49,La grande sÃ©duction,4659,2003
6.6,Comedy,64,102,0.93,Bright Young Things,4586,2003
6.6,Drama,62,103,0.0,Alexandra's Project,4481,2003
6.8,Comedy,56,100,0.16,Danny Deckchair,4477,2003
6.9,Documentary,67,61,17.04,Les fantÃ´mes du Titanic,4455,2003
6.2,Thriller,45,120,0.76,Crimes contre l'humanitÃ©,4431,2003
6.9,Comedy,68,114,2.35,Bon voyage,4424,2003
7.4,Biography,75,109,0.37,How to Get the Man's Foot Outta Your Ass,4407,2003
6.2,Comedy,41,85,0.02,The Hebrew Hammer,4339,2003
7.3,Drama,68,115,0.0,Arven,4320,2003
5.6,Comedy,44,109,7.38,Une si belle famille,4236,2003
5.5,Comedy,32,112,0.53,Masked and Anonymous,4110,2003
6.4,Drama,69,106,0.02,Nathalie...,4082,2003
7.2,Comedy,70,105,0.6,Blue Collar Comedy Tour: The Movie,4008,2003
6.1,Drama,33,79,0.28,The Battle of Shaker Heights,3934,2003
7.1,Documentary,60,82,0.0,Overnight,3893,2003
6.4,Action,54,120,0.08,Les guerriers de l'Empire cÃ©leste,3870,2003
7.6,Drama,81,97,0.15,Sang et or,3814,2003
7.1,Comedy,75,107,0.0,Stupeur et tremblements,3802,2003
7.2,Crime,62,94,0.0,The Mudge Boy,3738,2003
5.3,Drama,43,119,0.05,Twentynine Palms,3730,2003
6.5,Comedy,53,125,0.22,Souviens-toi de moi,3703,2003
2.7,Documentary,34,96,3.71,8 jours & 8 nuits Ã  Cancun,3655,2003
8.3,Drama,89,108,34.4,Eternal Sunshine of the Spotless Mind,746972,2004
8.0,Action,83,137,66.21,Kill Bill: Volume II,562549,2004
8.1,Drama,86,132,100.49,Million Dollar Baby,536271,2004
8.0,Animation,90,115,261.44,Les indestructibles,528605,2004
7.3,Action,83,127,373.59,Spider-Man 2,457265,2004
7.9,Drama,53,123,81.0,N'oublie jamais,436283,2004
7.8,Adventure,82,142,249.36,Harry Potter et le prisonnier d'Azkaban,434526,2004
8.0,Comedy,76,99,13.54,Shaun of the Dead,433664,2004
"7.1,Action,59,115,144.8,""I, Robot"",429100,2004"
7.2,Drama,56,163,133.38,Troie,419170,2004
7.7,Sci,30,113,57.94,L'effet papillon,392209,2004
7.8,Action,73,108,176.24,La mort dans la peau,383351,2004
7.8,Crime,69,112,54.58,Collision,382204,2004
6.4,Action,47,124,186.74,Le jour d'aprÃ¨s,360423,2004
7.2,Animation,75,93,436.47,Shrek 2,347057,2004
7.3,Comedy,55,128,77.87,Le terminal,335514,2004
7.7,Crime,46,103,56.0,Saw,328900,2004
7.6,Crime,71,115,101.01,CollatÃ©ral,315132,2004
6.5,Crime,58,125,125.54,Ocean's Twelve,308976,2004
7.7,Drama,61,101,1.08,The Machinist,308148,2004
8.1,Biography,79,121,23.47,HÃ´tel Rwanda,289918,2004
7.2,Comedy,63,94,85.29,PrÃ©sentateur vedette: La lÃ©gende de Ron Burgundy,289144,2004
7.7,Action,47,146,77.91,Man on Fire,287750,2004
7.5,Biography,77,170,102.61,Aviator,287356,2004
6.8,Comedy,48,99,120.91,Amour & amnÃ©sie,286446,2004
8.2,Biography,82,156,5.51,La chute,276443,2004
7.0,Comedy,66,97,86.06,Lolita malgrÃ© moi,274325,2004
6.9,Action,39,131,173.01,Benjamin Gates et le trÃ©sor des Templiers,270667,2004
6.8,Action,72,122,59.62,Hellboy,264446,2004
8.2,Animation,80,119,4.71,Le chÃ¢teau ambulant,247386,2004
"6.3,Comedy,41,115,279.26,""Mon beau-pÃ¨re, mes parents et moi"",225629,2004"
6.1,Action,35,131,120.18,Van Helsing,214049,2004
6.5,Drama,44,108,114.2,Le village,211456,2004
7.3,Action,59,101,59.02,L'armÃ©e des morts,208350,2004
6.7,Comedy,55,92,114.33,Dodgeball - MÃªme pas mal!,200363,2004
7.5,Comedy,67,102,26.78,Garden State,195121,2004
6.7,Action,38,119,57.76,Les chroniques de Riddick,195120,2004
7.2,Drama,47,127,370.78,La passion du Christ,190333,2004
8.0,Drama,90,80,5.79,Before Sunset,185422,2004
7.7,Biography,67,106,51.68,Neverland,183485,2004
6.8,Comedy,47,108,14.59,Girl Next Door,181610,2004
7.3,Drama,65,104,33.99,Closer: entre adultes consentants,179394,2004
6.8,Adventure,62,108,118.63,Les dÃ©sastreuses aventures des orphelins Baudelaire,174081,2004
6.6,Comedy,45,92,17.72,Sex Trip,173057,2004
6.9,Comedy,64,96,44.54,Napoleon Dynamite,172670,2004
6.2,Action,35,94,51.2,Resident Evil: Apocalypse,166396,2004
7.1,Adventure,64,88,18.23,Harold & Kumar chassent le burger,164515,2004
7.5,Comedy,94,126,71.5,Sideways,160035,2004
6.6,Mystery,46,96,48.02,FenÃªtre secrÃ¨te,159545,2004
5.6,Action,29,101,80.28,Alien vs. Predator,159196,2004
7.3,Adventure,62,119,24.01,La vie aquatique,153366,2004
5.6,Action,39,175,34.3,Alexandre,147186,2004
6.3,Action,46,126,51.88,Le roi Arthur,145180,2004
5.9,Action,38,113,52.41,Blade: Trinity,145126,2004
"7.2,Action,64,98,32.77,""Team america, police du monde"",144003,2004"
6.0,Animation,48,90,160.86,Gang de requins,143794,2004
7.4,Crime,73,105,2.34,Layer Cake,143657,2004
6.6,Animation,61,100,183.37,Le pÃ´le express,138558,2004
6.1,Comedy,57,98,57.23,30 ans sinon rien,134543,2004
6.5,Action,33,124,33.68,The Punisher,134503,2004
6.1,Comedy,55,101,88.24,Starsky et Hutch,126383,2004
5.9,Horror,49,91,110.36,The Grudge,124413,2004
7.7,Biography,73,152,75.33,Ray,119615,2004
7.5,Documentary,67,122,119.19,Fahrenheit 9/11,118057,2004
5.9,Comedy,44,90,88.1,Polly et moi,112569,2004
5.5,Comedy,41,109,70.83,FBI - Fausses blondes infiltrÃ©es,109051,2004
7.8,Action,78,99,17.11,Crazy kung-fu,108050,2004
7.3,Drama,40,143,51.27,Le fantÃ´me de l'opÃ©ra,103319,2004
7.6,Action,89,119,11.05,Le secret des poignards volants,97649,2004
3.3,Action,27,104,40.2,Catwoman,94274,2004
6.6,Drama,76,129,65.96,Un crime dans la tÃªte,92209,2004
7.2,Documentary,73,100,11.53,Super Size Me,91305,2004
6.2,Comedy,56,104,39.8,Ladykillers,89354,2004
7.8,Adventure,75,126,16.76,Carnets de voyage,87965,2004
5.9,Comedy,44,108,40.23,Bridget Jones: L'Ã¢ge de raison,87366,2004
6.5,Action,60,94,32.0,Cellular,83381,2004
6.9,Drama,68,77,0.42,Primer,82744,2004
6.1,Action,64,106,37.76,Capitaine Sky et le monde de demain,75842,2004
5.8,Action,49,120,24.01,Le tour du monde en 80 jours,74326,2004
6.7,Action,54,136,67.29,Hidalgo,71080,2004
6.2,Crime,38,103,32.68,Taking lives - destins violÃ©s,69910,2004
6.4,Comedy,48,131,42.04,Spanglish,69765,2004
5.9,Comedy,25,95,51.44,Comme Cendrillon,69340,2004
8.0,Biography,74,125,2.09,Mar adentro,69106,2004
"5.0,Animation,27,80,75.37,""Garfield, le film"",65832,2004"
7.7,Drama,76,133,6.17,Un long dimanche de fianÃ§ailles,65769,2004
"7.0,Animation,66,87,85.42,""Bob l'Ã©ponge, le film"",64975,2004"
5.7,Comedy,43,113,95.17,Un mariage de princesse,60699,2004
7.7,Drama,73,105,0.7,Mysterious Skin,60140,2004
5.8,Drama,43,91,66.64,MÃ©moire effacÃ©e,59870,2004
7.2,Action,70,84,1.2,Banlieue 13,59543,2004
6.7,Comedy,55,107,12.78,J'adore Huckabees,58817,2004
6.2,Action,44,86,45.86,TolÃ©rance zÃ©ro,57728,2004
6.2,Comedy,43,102,25.27,PÃ¨re et fille,57614,2004
6.3,Comedy,59,98,17.0,La plus belle victoire,54536,2004
5.2,Comedy,42,93,59.48,Et l'homme crÃ©a la femme,52663,2004
6.4,Crime,33,106,4.48,Profession profiler,52548,2004
6.3,Comedy,53,96,22.92,Ella au pays enchantÃ©,52451,2004
7.3,Action,70,118,61.19,Friday Night Lights,50905,2004
6.5,Action,47,115,74.54,PiÃ¨ge de feu,50677,2004
6.5,Comedy,66,109,45.49,En bonne compagnie,50493,2004
6.5,Action,58,114,1.49,Night Watch,49075,2004
5.5,Comedy,24,98,16.32,Mon voisin le tueur 2,48705,2004
7.5,Crime,81,106,5.21,La mauvaise Ã©ducation,48679,2004
7.9,Drama,56,97,3.64,Les choristes,48500,2004
7.0,Drama,40,114,12.83,Rencontre Ã  Wicker Park,47804,2004
6.1,Action,47,113,21.01,Le vol du Phoenix,47762,2004
6.2,Comedy,49,103,13.4,IrrÃ©sistible Alfie,46048,2004
7.5,Drama,78,129,0.26,2046,44468,2004
7.1,Biography,79,118,10.21,Dr. Kinsey,44258,2004
8.0,Drama,78,121,0.0,Head-On,44048,2004
7.7,Crime,52,90,0.01,Dead Man's Shoes,43069,2004
8.1,Crime,72,88,0.24,Locataires,42125,2004
6.8,Comedy,62,92,8.94,Saved!,41763,2004
7.9,Drama,67,192,2.92,Veer-Zaara,40541,2004
6.3,Action,38,97,28.33,Coup d'Ã©clat,40375,2004
7.5,Biography,68,135,64.38,Miracle,39589,2004
5.9,Adventure,29,95,58.17,Jusqu'au cou,39460,2004
6.1,Comedy,47,106,57.89,Shall we dance? La nouvelle vie de Monsieur Clark,38226,2004
5.0,Adventure,34,93,84.22,Scooby-Doo 2 - Les monstres se dÃ©chaÃ®nent,37493,2004
4.4,Action,27,97,36.61,New York Taxi,35452,2004
5.9,Comedy,47,111,28.17,Le Prince et Moi,34121,2004
8.1,Action,64,140,1.11,FrÃ¨res de sang,33997,2004
6.0,Comedy,38,119,37.49,Fashion maman,32632,2004
5.2,Comedy,22,99,73.78,Un NoÃ«l de folie!,32626,2004
"6.4,Biography,44,114,4.84,""Rochester, le dernier des libertins"",32604,2004"
6.1,Comedy,46,101,12.19,Esprit libre,32197,2004
4.9,Comedy,46,87,17.08,Le fils de Chucky,31966,2004
7.5,Crime,87,101,6.52,Maria pleine de grÃ¢ce,31735,2004
6.1,Drama,50,100,5.01,Birth,31453,2004
7.1,Drama,63,131,3.77,Le marchand de Venise,31441,2004
7.6,Animation,66,100,1.04,Ghost in the Shell 2: Innocence,31405,2004
"5.1,Horror,30,114,41.82,""L'exorciste, au commencement"",30153,2004"
7.2,Drama,72,87,0.04,The Woodsman,29080,2004
6.5,Comedy,54,99,3.83,Melinda et Melinda,28651,2004
7.5,Drama,68,127,0.18,The Edukators,28403,2004
6.2,Drama,43,95,0.55,Final Cut,28236,2004
7.3,Crime,74,90,0.6,Mean Creek,28012,2004
4.8,Comedy,31,99,12.18,Envy,27625,2004
6.6,Action,60,106,4.43,Spartan,27493,2004
2.0,Comedy,9,88,9.11,P'tits gÃ©nies 2,27020,2004
5.7,Comedy,45,104,4.99,Club Dread,25173,2004
"4.0,Action,41,84,21.22,""Torque, la route s'enflamme"",24821,2004"
4.6,Comedy,33,89,29.33,Journal intime d'une future star,24739,2004
3.5,Drama,37,95,40.07,Street Dancers,24237,2004
4.6,Action,40,97,32.24,Anacondas - Ã€ la poursuite de l'orchidÃ©e de sang,24199,2004
5.9,Family,33,103,10.41,Trouve ta voix,24171,2004
5.6,Comedy,52,95,17.07,Rendez-vous avec une star,24098,2004
7.0,Biography,63,95,0.7,The Assassination of Richard Nixon,24044,2004
6.0,Drama,39,86,14.16,Dirty Dancing 2,23762,2004
"4.8,Action,24,102,14.38,""Godsend, expÃ©rience interdite"",23246,2004"
7.2,Drama,48,119,0.16,Love Song,23147,2004
6.9,Comedy,74,98,6.58,Millions,22857,2004
7.7,Crime,83,125,3.75,Vera Drake,21378,2004
5.7,Comedy,35,93,10.39,The Perfect Score,20994,2004
5.9,Comedy,38,90,17.85,Une affaire de coeur,19933,2004
7.8,Drama,63,105,1.34,Dear Frankie,19678,2004
4.4,Comedy,33,86,13.92,Soul Plane,19367,2004
5.4,Comedy,19,91,11.66,Famille Ã  louer,19215,2004
4.9,Drama,43,71,0.05,9 Songs,19191,2004
4.9,Comedy,33,91,14.02,Une journÃ©e Ã  New York,18995,2004
8.1,Drama,88,141,0.68,Nobody knows,18942,2004
5.0,Comedy,31,106,9.06,Des Ã©toiles plein les yeux,18541,2004
6.2,Comedy,55,122,6.6,Coup de foudre Ã  Bollywood,18312,2004
6.2,Drama,53,141,16.14,Vanity Fair - La foire aux vanitÃ©s,18285,2004
5.2,Crime,26,97,25.2,Instincts meurtriers,18123,2004
6.0,Drama,47,137,22.41,Alamo,17757,2004
7.4,Biography,56,90,0.12,It's All Gone Pete Tong,17692,2004
6.8,Drama,82,86,0.99,My Summer of Love,17374,2004
5.9,Crime,37,99,8.73,Suspect Zero,17281,2004
7.0,Horror,66,118,0.08,3 extrÃªmes,16877,2004
4.9,Comedy,42,88,6.47,La grande arnaque,16576,2004
7.0,Animation,40,101,0.13,Appleseed,16450,2004
5.3,Comedy,36,111,20.42,Les ex de mon mec,15936,2004
5.4,Animation,50,76,50.03,La ferme se rebelle,15605,2004
7.4,Action,78,100,0.0,Pusher II - Du sang sur les mains,15276,2004
8.1,Drama,85,98,0.26,Lakposhtha parvaz mikonand,14937,2004
7.5,Documentary,74,141,1.22,Metallica: Some Kind of Monster,14898,2004
6.9,Animation,66,126,0.41,Steamboy,14718,2004
6.7,Comedy,67,111,3.84,Lignes de vie,14034,2004
5.8,Action,38,84,15.71,Paparazzi,13663,2004
6.7,Biography,46,118,6.32,Beyond the Sea,13537,2004
5.3,Comedy,33,89,9.44,Pyjama Party,13536,2004
8.6,Crime,76,143,0.03,Black Friday,13527,2004
7.4,Documentary,78,85,3.41,Camera kids,13380,2004
6.6,Drama,40,132,0.4,Nous Ã©tions libres,13240,2004
5.3,Action,42,91,0.1,D.E.B.S.,12989,2004
5.5,Comedy,57,104,21.8,Mr 3000,12832,2004
7.1,Adventure,63,109,18.95,Deux frÃ¨res,12790,2004
7.9,Comedy,59,104,0.02,Inside I'm Dancing,12607,2004
6.8,Drama,59,97,1.03,La maison au bout du monde,12484,2004
5.3,Documentary,38,109,10.94,Que sait-on vraiment de la rÃ©alitÃ©!?,12453,2004
5.9,Drama,60,95,5.76,L'enlÃ¨vement,12268,2004
4.5,Action,32,100,23.22,Cody Banks agent secret 2 - Destination Londres,12160,2004
7.4,Drama,65,117,0.14,Napola - Elite fÃ¼r den FÃ¼hrer,12154,2004
7.4,Comedy,51,98,0.1,Summer Storm,11927,2004
4.2,Action,36,95,6.77,Thunderbirds - Les sentinelles de l'air,11833,2004
5.7,Comedy,59,106,65.11,Barbershop 2: Back in Business,11477,2004
6.8,Comedy,53,100,0.55,Palindromes,11204,2004
5.1,Comedy,56,89,1.34,A Dirty Shame,11194,2004
5.2,Comedy,33,110,14.47,Welcome to Mooseport,11156,2004
7.0,Comedy,65,104,7.74,Adorable Julia,11102,2004
6.5,Drama,53,93,0.22,La sÃ©ductrice,10277,2004
6.2,Horror,52,88,0.0,Calvaire,10200,2004
6.6,Biography,53,125,13.34,De-Lovely,10077,2004
7.6,Drama,76,117,0.38,BrÃ¸dre,9992,2004
4.3,Comedy,39,93,48.12,Fat Albert,9943,2004
7.1,Comedy,68,105,0.0,Le crime farpait,9847,2004
7.8,Biography,76,116,0.0,Mon ami Machuca,9708,2004
6.4,Comedy,61,87,14.69,Criminal,9366,2004
7.4,Biography,25,128,0.2,Modigliani,9225,2004
6.4,Drama,61,100,0.36,Enduring Love,9215,2004
7.2,Drama,64,106,0.78,Stage Beauty,9196,2004
7.1,Drama,61,104,6.76,Les dames de Cornouailles,9016,2004
7.2,Comedy,53,111,0.23,Imaginary Heroes,8935,2004
5.2,Adventure,33,91,16.7,Les petits braqueurs,8586,2004
6.3,Drama,66,101,2.04,We Don't Live Here Anymore,8561,2004
7.5,Comedy,65,91,1.19,Saving Face,8391,2004
5.2,Horror,37,98,0.1,Riding the Bullet,8057,2004
7.0,Comedy,33,97,0.37,Le prince de Greenwich Village,7975,2004
6.7,Comedy,34,91,0.07,Folles funÃ©railles,7962,2004
6.7,Drama,62,90,0.13,5x2,7962,2004
6.3,Drama,29,96,0.0,NoÃ«l,7768,2004
8.0,Comedy,59,102,0.0,Simon,7673,2004
6.7,Drama,63,108,0.02,L'autre rive,7635,2004
6.3,Comedy,44,108,8.05,Connie et Carla,7218,2004
7.1,Drama,59,125,0.0,Ã€ corps perdus,7006,2004
7.4,Action,63,161,0.28,Yuva,6885,2004
4.6,Animation,15,100,19.76,Yu-gi-oh! Le film,6845,2004
6.8,Drama,73,106,0.09,Le saut pÃ©rilleux,6659,2004
5.3,Comedy,28,138,0.37,She Hate Me,6647,2004
8.0,Drama,66,120,0.84,Voces inocentes,6581,2004
7.9,Animation,64,103,0.0,Mind Game,6450,2004
4.4,Comedy,29,97,31.18,Johnson Family Vacation,6355,2004
5.3,Biography,36,110,5.88,Dans les cordes,6181,2004
7.4,Drama,65,103,2.71,Tu marcheras sur l'eau,6101,2004
7.2,Drama,65,104,0.0,Just a Kiss,6093,2004
5.9,Crime,37,115,0.14,Haven - L'enfer au paradis,6082,2004
7.3,Comedy,56,102,0.0,Shimotsuma monogatari,6053,2004
7.6,Documentary,58,75,0.24,Outfoxed: La guerre de Rupert Murdoch contre le journalisme,5934,2004
6.6,Drama,27,98,0.03,Le livre de JÃ©rÃ©mie,5614,2004
5.8,Comedy,34,88,0.0,Dead & Breakfast,5462,2004
6.0,Drama,51,104,0.19,Eros,5436,2004
7.8,Documentary,76,107,0.13,Dig!,5430,2004
5.1,Drama,35,110,0.07,Ma mÃ¨re,5401,2004
5.9,Comedy,28,90,0.16,Eating Out,5383,2004
6.2,Comedy,55,97,0.18,P.S.,5366,2004
7.6,Comedy,51,98,0.8,Saint Ralph,5314,2004
7.8,Action,76,132,0.04,La servante et le samouraÃ¯,5105,2004
5.7,Action,38,88,5.64,Never Die Alone,5034,2004
7.6,Documentary,84,107,0.2,Le cauchemar de Darwin,5032,2004
6.9,Drama,78,122,0.0,Innocence,5020,2004
7.0,Drama,79,100,0.03,Keane,4924,2004
7.8,Comedy,77,143,0.0,Cha no aji,4903,2004
7.8,Documentary,79,84,2.59,Control Room,4862,2004
6.9,Comedy,79,110,1.74,Comme une image,4827,2004
8.3,Action,70,140,206.85,Batman Begins,1090661,2005
8.2,Action,62,132,70.51,V pour vendetta,878716,2005
8.0,Crime,74,124,74.1,Sin City,693329,2005
7.6,Action,68,140,380.26,Star Wars: Ã‰pisode III - La revanche des Sith,583187,2005
7.7,Adventure,81,157,290.01,Harry Potter et la coupe de feu,436162,2005
6.5,Action,55,120,186.34,Mr. & Mrs. Smith,384395,2005
6.5,Adventure,73,116,234.28,La guerre des mondes,361607,2005
6.7,Adventure,72,115,206.46,Charlie et la chocolaterie,356086,2005
7.2,Action,81,187,218.08,King Kong,344002,2005
"7.1,Comedy,73,116,109.45,""40 ans, toujours puceau"",337810,2005"
"6.9,Adventure,75,143,291.71,""Le monde de Narnia: chapitre 1 - Le lion, la sorciÃ¨re blanche et l'armoire magique"",314569,2005"
6.9,Animation,57,86,193.6,Madagascar,298625,2005
7.0,Comedy,64,119,209.22,Serial noceurs,297816,2005
5.7,Action,40,106,154.7,Les 4 fantastiques,282318,2005
7.7,Drama,87,134,83.04,Le secret de Brokeback Mountain,279519,2005
6.9,Action,50,136,35.82,The Island,277605,2005
7.6,Crime,62,122,24.15,Lord of War,264064,2005
"6.6,Comedy,58,118,179.5,""Hitch, expert en sÃ©duction"",262226,2005"
7.9,Action,74,119,25.51,Serenity - L'ultime rÃ©bellion,256959,2005
6.9,Drama,50,121,75.98,Constantine,256883,2005
7.2,Action,63,144,47.4,Kingdom of Heaven,235272,2005
7.8,Drama,82,129,38.41,Orgueil & prÃ©jugÃ©s,212160,2005
7.4,Animation,83,77,53.36,Les noces funÃ¨bres,208483,2005
6.6,Horror,40,93,87.04,Saw II,204605,2005
7.5,Crime,81,96,31.49,A History of Violence,200568,2005
7.9,Biography,72,136,119.52,Walk the Line,200524,2005
